createdAt,phone,creditLimit,address,nameLower,email,contactPerson,isActive,drugLicenseNo,outstandingBalance,name,gstNumber,_id
2026-07-09T03:00:30.018906Z,7880044479,0,Dawa Bazar,medibasket,,,true,,917,Medibasket,,0jItWesLGEqqhDyWSceU
2026-07-13T12:10:55.436Z,7898028800.0,0,RANIPURA,om cosmetics,,,true,,0,OM COSMETICS,,0kqqeQ6V7txYpj378Rgu
2026-07-13T12:10:55.436Z,7879025580,0,LG 81 DAWA BAZAR,amit medicos,,,true,,0,AMIT MEDICOS,23AAHFA2418F1Z1,1FQKFRr7XhFTmNjgbcq1
2026-07-13T12:10:55.436Z,9303904741,0,"L.G., 120-121, DAWA BAZAR, 13-14 RNT MARG INDORE",anila medical pvt ltd,,,true,20/5305-21/5306/12/2024,4196,ANILA MEDICAL PVT LTD,23AATCA5484E1ZH,1RdJFiBhHnztACIVFSmI
2026-07-13T12:10:55.436Z,7415304796.0,0,,novacare,,,true,,0,NOVACARE,,1gghtrahwZe6Y6G166ZU
2026-07-13T12:10:55.436Z,7773889973.0,0,"LG S-1,2, DAWA BAZAR",krishnvedahealthcare@gmail.com,,,true,,0,krishnvedahealthcare@gmail.com,23AAZFK9947K1ZA,38wYnUEcQl4cZIvKndZN
2026-07-13T12:10:55.436Z,9039555747.0,0,06 MADINA NAGAR MAIN ROAD 23 M.P.,star marketing,,,true,,0,STAR MARKETING,,3Fm2lsHE9SE7uHZDIdaf
2026-07-17T15:29:05.267794Z,7000357500,0,78,testpartyyyy,,,true,,0,testpartyyyy,,3OXjRQBfXUqELHm2so2x
2026-07-13T12:10:55.436Z,8602744166.0,0,LASUDIYA MORI,d c agencies,,,true,,0,D C AGENCIES,,3cKnWW4Q0cN1Z8RRkC7E
2026-07-13T12:10:55.436Z,7773889973.0,0,DAWA BAZAR,krishna enterprises,,,true,,0,KRISHNA ENTERPRISES,,4aqO789EcMYG6g6LjDBj
2026-07-13T12:10:55.436Z,7314083923.0,0,174 LG DAWA BAZAR,burhani generics,,,true,"20B,21B/429,430/6/2018",0,BURHANI GENERICS,23CGXPP251G1ZZ,4c4g7opIcGgijYy4f5xE
2026-07-13T12:10:55.436Z,9302100939.0,0,"L.G. 75, DAWA BAZAR",chemist.central@gmail.com,,,true,20B-21B-DB-110/94,0,chemist.central@gmail.com,23ABRPB5422D1Z5,4duJwnMH4O2X5e8hIE75
2026-07-13T12:10:55.436Z,9755544335.0,0,,baiso organics,,,true,,0,BAISO ORGANICS,,50SMD1NhuOfyB0inCRW1
2026-07-13T12:10:55.436Z,9229177749.0,0,,chirayu agencies,,,true,,0,CHIRAYU AGENCIES,,52YDNt0qnS4Cy4K4kykE
